,metric,min_val,max_val,mean_val,std_val,quantile_1,quantile_5,quantile_10,quantile_25,quantile_50,quantile_75,quantile_90,quantile_95,quantile_99
0,topiq_nr-flive,0.3706657588481903,0.8438699245452881,0.7220809332471114,0.036725958571581445,0.5963361722230911,0.6511412411928177,0.6749366700649262,0.7064532786607742,0.7299290299415588,0.7464849352836609,0.7587257027626038,0.7655256003141403,0.7786207616329195
1,topiq_nr,0.028465598821640015,0.879496693611145,0.5492246687400396,0.09879883073803575,0.2823477563261986,0.37398938536643983,0.4193150788545609,0.4886072725057602,0.5572580099105835,0.6180886775255203,0.6689015030860901,0.6979396164417266,0.7479046231508255
2,topiq_nr-spaq,-0.010191652923822403,0.9311363697052002,0.6222264631388917,0.11120771210922478,0.3088915666937828,0.4220303863286972,0.4752653896808624,0.5551164746284485,0.634138822555542,0.7028098702430725,0.7546819269657135,0.7815943568944931,0.8247294914722443
3,maniqa,0.01631500944495201,0.8416800498962402,0.41897500733924836,0.09476983884651943,0.1859385022521019,0.2623827770352363,0.2986292093992233,0.35509753227233887,0.41906559467315674,0.4866059944033623,0.5422149300575256,0.5711687833070755,0.6198243147134781
4,clipiqa+,0.09863913804292679,0.9070638418197632,0.6298755608903229,0.09335623596013473,0.3594723212718964,0.4607347309589386,0.5081344366073608,0.5758181810379028,0.639446496963501,0.6956533193588257,0.7403521776199341,0.7643862396478653,0.804277391433716
5,musiq-paq2piq,38.393951416015625,80.3454818725586,72.16505873094019,3.664117905528881,58.45375602722168,65.19268989562988,67.67956771850587,70.87443161010742,73.076416015625,74.5117416381836,75.53343963623047,76.08340988159179,77.06034713745117
6,arniqa,0.016121257096529007,0.9780114889144897,0.6664185272433882,0.0727935422021188,0.42493384033441545,0.5311019331216812,0.5738906621932983,0.630895733833313,0.6795070469379425,0.7163068950176239,0.7435792326927185,0.7583396852016449,0.7843886083364489
7,arniqa-kadid,-0.2995154857635498,1.102906346321106,0.6336175308348062,0.15827474588787033,0.195537773668766,0.3137126207351685,0.3975125193595886,0.5489567816257477,0.6648341417312622,0.7478359788656235,0.8081447362899781,0.8402527213096619,0.8941596114635468
8,topiq_iaa,2.4985222816467285,7.2845258712768555,4.924311469167528,0.542816009299228,3.617565326690674,4.018620276451111,4.222372055053711,4.562618255615234,4.932142734527588,5.305094122886658,5.606753778457643,5.787093329429626,6.140074806213382
9,dbcnn,0.09552702307701111,0.8360992074012756,0.5553582737457406,0.0968660543948037,0.2930964908003807,0.3769446983933449,0.4230531632900238,0.4960702583193779,0.5664554238319397,0.6249006539583206,0.6710179388523103,0.696263313293457,0.7377841776609425
10,laion_aes,1.939233660697937,7.375250339508057,4.684152346708,0.5524961621778148,3.3724979305267335,3.7449967861175537,3.953343391418457,4.31310760974884,4.706939935684204,5.064249515533447,5.372146940231323,5.561249947547913,5.92516887664795
11,liqe_mix,1.0000383853912354,4.999996662139893,3.9833212286808197,0.888809527932713,1.3976851773262025,2.3220012903213503,2.7441537380218506,3.4078853726387024,4.102637767791748,4.816479444503784,4.973363876342773,4.991885352134704,4.999100208282471
12,liqe,1.0000168085098267,4.999998092651367,3.8854980545486963,1.012805425152465,1.086198754310608,1.9646656155586242,2.445664095878601,3.200134813785553,4.081467866897583,4.827156662940979,4.974764823913574,4.991971492767334,4.999029860496521
13,maniqa-pipal,0.1667453646659851,0.8896076083183289,0.6402844340131875,0.06305051226399497,0.44450112372636796,0.5227918416261673,0.5577666997909546,0.6075239926576614,0.6502736806869507,0.6835452914237976,0.7090891003608704,0.7237771362066269,0.7523426693677903
14,nima-vgg16-ava,2.3440983295440674,8.055245399475098,5.1442760639759175,0.5247486051374238,3.8918242597579957,4.281353306770325,4.47824125289917,4.797751545906067,5.145674228668213,5.493553876876831,5.810830783843994,6.00386905670166,6.372982301712037
15,hyperiqa,0.09809619933366776,0.8885833621025085,0.5642117182231424,0.10182103412117156,0.28708091408014297,0.3759126603603363,0.4244697391986847,0.5013589709997177,0.5765975713729858,0.6389581710100174,0.685092294216156,0.7094436973333359,0.7498295515775681
16,tres-flive,-10.227495193481445,122.62296295166016,88.33354020610392,3.8598178580771534,76.34001525878907,80.80479431152344,83.08736419677734,86.63204193115234,89.23603820800781,90.8842544555664,92.09410858154297,92.81900291442871,94.50467994689942
17,arniqa-flive,-0.14607277512550354,0.9620422720909119,0.7090893389107447,0.041022770368108114,0.57043801009655,0.6362300306558609,0.6597927331924438,0.6906898021697998,0.7161360681056976,0.7355686277151108,0.7508613705635071,0.7598155349493027,0.7775521659851076
18,musiq,10.772693634033203,79.72147369384766,66.75347698592604,8.331594404147573,37.7249486541748,51.008235168457034,56.05306968688965,62.925028800964355,68.6385383605957,72.68679809570312,75.21357498168945,76.29395561218261,77.66227317810059
19,musiq-ava,2.145838975906372,7.577972412109375,4.9903576384877315,0.5436034677194437,3.691976184844971,4.116074395179749,4.315816402435303,4.6321316957473755,4.9813220500946045,5.344399929046631,5.688330173492432,5.898431181907654,6.294037365913392
22,cnniqa,-1.2774406671524048,0.9474670886993408,0.5998972781754961,0.08781714519722453,0.3386432686448097,0.4269648790359497,0.4726470589637756,0.5524052530527115,0.6258158087730408,0.6637341976165771,0.6887941956520081,0.7009351462125778,0.7181870901584626
30,topiq_nr-flive_normalized,-9.568577324237529,3.316155548691846,-1.401155728204809e-16,1.0,-3.423866004176175,-1.9315953841212163,-1.283676860068821,-0.42552067241152625,0.21369344735144025,0.6644891783827608,0.9977893277875685,1.1829416782233806,1.5395058586587456
